,df,y
0,2020-03-21,2
1,2020-03-22,0
2,2020-03-23,0
3,2020-03-24,5
4,2020-03-25,0
5,2020-03-26,2
6,2020-03-27,0
7,2020-03-28,4
8,2020-03-29,0
9,2020-03-30,0
10,2020-03-31,0
11,2020-04-01,10
12,2020-04-02,1
13,2020-04-03,7
14,2020-04-04,5
15,2020-04-05,0
16,2020-04-06,0
17,2020-04-07,6
18,2020-04-08,3
19,2020-04-09,11
20,2020-04-10,12
21,2020-04-11,2
22,2020-04-12,4
23,2020-04-13,30
24,2020-04-14,1
25,2020-04-15,26
26,2020-04-16,16
27,2020-04-17,36
28,2020-04-18,17
29,2020-04-19,22
30,2020-04-20,3
31,2020-04-21,27
32,2020-04-22,10
33,2020-04-23,6
34,2020-04-24,39
35,2020-04-25,49
36,2020-04-26,6
37,2020-04-27,21
38,2020-04-28,0
39,2020-04-29,1
40,2020-04-30,78
41,2020-05-01,0
42,2020-05-02,115
43,2020-05-03,-102
44,2020-05-04,38
45,2020-05-05,201
46,2020-05-06,57
47,2020-05-07,69
48,2020-05-08,77
49,2020-05-09,53
50,2020-05-10,79
51,2020-05-11,5
52,2020-05-12,117
53,2020-05-13,-36
54,2020-05-14,54
55,2020-05-15,65
56,2020-05-16,83
57,2020-05-17,48
58,2020-05-18,77
59,2020-05-19,72
60,2020-05-20,0
61,2020-05-21,0
62,2020-05-22,276
63,2020-05-23,108
64,2020-05-24,1
65,2020-05-25,82
66,2020-05-26,13
67,2020-05-27,243
68,2020-05-28,123
69,2020-05-29,158
70,2020-05-30,106
71,2020-05-31,146
72,2020-06-01,124
73,2020-06-02,250
74,2020-06-03,1
75,2020-06-04,575
76,2020-06-05,297
77,2020-06-06,214
78,2020-06-07,214
79,2020-06-08,207
80,2020-06-09,218
81,2020-06-10,215
82,2020-06-11,95
83,2020-06-12,49
84,2020-06-13,3
85,2020-06-14,1
86,2020-06-15,37
87,2020-06-16,178
88,2020-06-17,156
89,2020-06-18,48
90,2020-06-19,280
91,2020-06-20,52
92,2020-06-21,38
93,2020-06-22,1612
94,2020-06-23,347
95,2020-06-24,870
96,2020-06-25,882
97,2020-06-26,84
98,2020-06-27,1094
99,2020-06-28,59
100,2020-06-29,44
101,2020-06-30,457
102,2020-07-01,2081
103,2020-07-02,609
104,2020-07-03,314
105,2020-07-04,125
106,2020-07-05,13
107,2020-07-06,205
108,2020-07-07,131
109,2020-07-08,427
110,2020-07-09,674
111,2020-07-10,439
112,2020-07-11,120
113,2020-07-12,252
114,2020-07-13,225
115,2020-07-14,536
116,2020-07-15,614
117,2020-07-16,526
118,2020-07-17,275
119,2020-07-18,65
120,2020-07-19,71
121,2020-07-20,83
122,2020-07-21,741
123,2020-07-22,770
124,2020-07-23,679
125,2020-07-24,432
126,2020-07-25,378
127,2020-07-26,41
128,2020-07-27,331
129,2020-07-28,550
130,2020-07-29,389
131,2020-07-30,415
132,2020-07-31,448
133,2020-08-01,368
134,2020-08-02,28
135,2020-08-03,1
136,2020-08-04,827
137,2020-08-05,516
138,2020-08-06,547
139,2020-08-07,328
140,2020-08-08,348
141,2020-08-09,29
142,2020-08-10,390
143,2020-08-11,1
144,2020-08-12,872
145,2020-08-13,399
146,2020-08-14,336
147,2020-08-15,207
148,2020-08-16,10
149,2020-08-17,408
150,2020-08-18,243
151,2020-08-19,341
152,2020-08-20,158
153,2020-08-21,249
154,2020-08-22,130
155,2020-08-23,22
156,2020-08-24,180
157,2020-08-25,253
158,2020-08-26,254
159,2020-08-27,177
160,2020-08-28,248
161,2020-08-29,146
162,2020-08-30,21
163,2020-08-31,143
164,2020-09-01,250
165,2020-09-02,240
166,2020-09-03,239
167,2020-09-04,252
168,2020-09-05,138
169,2020-09-06,7
170,2020-09-07,42
171,2020-09-08,149
172,2020-09-09,249
173,2020-09-10,185
174,2020-09-11,174
175,2020-09-12,131
176,2020-09-13,9
177,2020-09-14,185
178,2020-09-15,218
179,2020-09-16,160
180,2020-09-17,236
181,2020-09-18,293
182,2020-09-19,178
183,2020-09-20,19
184,2020-09-21,149
185,2020-09-22,288
186,2020-09-23,250
187,2020-09-24,198
188,2020-09-25,180
189,2020-09-26,193
190,2020-09-27,40
191,2020-09-28,134
192,2020-09-29,216
193,2020-09-30,169
194,2020-10-01,205
195,2020-10-02,220
196,2020-10-03,61
197,2020-10-04,0
198,2020-10-05,76
199,2020-10-06,127
200,2020-10-07,182
201,2020-10-08,183
202,2020-10-09,262
203,2020-10-10,145
204,2020-10-11,10
205,2020-10-12,33
206,2020-10-13,115
207,2020-10-14,392
208,2020-10-15,227
209,2020-10-16,196
210,2020-10-17,132
211,2020-10-18,40
212,2020-10-19,141
213,2020-10-20,163
214,2020-10-21,162
215,2020-10-22,275
216,2020-10-23,282
217,2020-10-24,202
218,2020-10-25,76
219,2020-10-26,183
220,2020-10-27,226
221,2020-10-28,222
222,2020-10-29,218
223,2020-10-30,263
224,2020-10-31,115
225,2020-11-01,58
226,2020-11-02,92
227,2020-11-03,127
228,2020-11-04,242
229,2020-11-05,294
230,2020-11-06,336
231,2020-11-07,119
232,2020-11-08,5
233,2020-11-09,61
234,2020-11-10,248
235,2020-11-11,289
236,2020-11-12,184
237,2020-11-13,228
238,2020-11-14,109
239,2020-11-15,40
240,2020-11-16,172
241,2020-11-17,165
242,2020-11-18,207
243,2020-11-19,245
244,2020-11-20,156
245,2020-11-21,91
246,2020-11-22,162
247,2020-11-23,91
248,2020-11-24,243
249,2020-11-25,142
250,2020-11-26,137
251,2020-11-27,45
252,2020-11-28,276
253,2020-11-29,84
254,2020-11-30,156
255,2020-12-01,216
256,2020-12-02,212
257,2020-12-03,96
258,2020-12-04,290
259,2020-12-05,209
260,2020-12-06,87
261,2020-12-07,25
262,2020-12-08,101
263,2020-12-09,322
264,2020-12-10,296
265,2020-12-11,219
266,2020-12-12,150
267,2020-12-13,30
268,2020-12-14,31
269,2020-12-15,54
270,2020-12-16,343
271,2020-12-17,125
272,2020-12-18,121
273,2020-12-19,0
274,2020-12-20,147
275,2020-12-21,103
276,2020-12-22,174
277,2020-12-23,173
278,2020-12-24,82
279,2020-12-25,42
280,2020-12-26,27
281,2020-12-27,28
282,2020-12-28,45
283,2020-12-29,127
284,2020-12-30,152
285,2020-12-31,21
286,2021-01-01,138
287,2021-01-02,15
288,2021-01-03,65
289,2021-01-04,72
290,2021-01-05,130
291,2021-01-06,124
292,2021-01-07,103
293,2021-01-08,172
294,2021-01-09,82
295,2021-01-10,43
296,2021-01-11,85
297,2021-01-12,155
298,2021-01-13,212
299,2021-01-14,88
300,2021-01-15,215
301,2021-01-16,179
302,2021-01-17,66
303,2021-01-18,138
304,2021-01-19,198
305,2021-01-20,105
306,2021-01-21,99
307,2021-01-22,260
308,2021-01-23,157
309,2021-01-24,110
310,2021-01-25,179
311,2021-01-26,228
312,2021-01-27,206
313,2021-01-28,295
314,2021-01-29,219
315,2021-01-30,173
316,2021-01-31,102
317,2021-02-01,91
318,2021-02-02,293
319,2021-02-03,192
320,2021-02-04,276
321,2021-02-05,164
322,2021-02-06,150
323,2021-02-07,76
324,2021-02-08,130
325,2021-02-09,222
326,2021-02-10,251
327,2021-02-11,227
328,2021-02-12,185
329,2021-02-13,190
330,2021-02-14,53
331,2021-02-15,134
332,2021-02-16,301
333,2021-02-17,255
334,2021-02-18,291
335,2021-02-19,420
336,2021-02-20,106
337,2021-02-21,161
338,2021-02-22,153
339,2021-02-23,268
340,2021-02-24,347
341,2021-02-25,286
342,2021-02-26,408
343,2021-02-27,225
344,2021-02-28,55
345,2021-03-01,83
346,2021-03-02,318
347,2021-03-03,393
348,2021-03-04,298
349,2021-03-05,206
350,2021-03-06,87
351,2021-03-07,27
352,2021-03-08,1
353,2021-03-09,37
354,2021-03-10,825
355,2021-03-11,287
356,2021-03-12,246
357,2021-03-13,175
358,2021-03-14,80
359,2021-03-15,115
360,2021-03-16,298
361,2021-03-17,241
362,2021-03-18,218
363,2021-03-19,283
364,2021-03-20,165
365,2021-03-21,74
366,2021-03-22,165
367,2021-03-23,251
368,2021-03-24,231
369,2021-03-25,209
370,2021-03-26,196
371,2021-03-27,119
372,2021-03-28,42
373,2021-03-29,2
374,2021-03-30,297
375,2021-03-31,293
376,2021-04-01,232
377,2021-04-02,155
378,2021-04-03,68
379,2021-04-04,23
380,2021-04-05,155
381,2021-04-06,121
382,2021-04-07,0
383,2021-04-08,442
384,2021-04-09,273
385,2021-04-10,150
386,2021-04-11,43
387,2021-04-12,222
388,2021-04-13,341
389,2021-04-14,341
390,2021-04-15,243
391,2021-04-16,247
392,2021-04-17,165
393,2021-04-18,30
394,2021-04-19,153
395,2021-04-20,279
396,2021-04-21,243
397,2021-04-22,183
398,2021-04-23,241
399,2021-04-24,172
400,2021-04-25,59
401,2021-04-26,134
402,2021-04-27,207
403,2021-04-28,217
404,2021-04-29,241
405,2021-04-30,221
406,2021-05-01,131
407,2021-05-02,27
408,2021-05-03,151
409,2021-05-04,198
410,2021-05-05,263
411,2021-05-06,299
412,2021-05-07,185
413,2021-05-08,175
414,2021-05-09,29
415,2021-05-10,153
416,2021-05-11,216
417,2021-05-12,231
418,2021-05-13,243
419,2021-05-14,240
420,2021-05-15,183
421,2021-05-16,64
422,2021-05-17,108
423,2021-05-18,356
424,2021-05-19,261
425,2021-05-20,343
426,2021-05-21,316
427,2021-05-22,202
428,2021-05-23,66
429,2021-05-24,132
430,2021-05-25,230
431,2021-05-26,174
432,2021-05-27,102
433,2021-05-28,225
434,2021-05-29,184
435,2021-05-30,52
436,2021-05-31,154
437,2021-06-01,296
438,2021-06-02,262
439,2021-06-03,92
440,2021-06-04,416
441,2021-06-05,170
442,2021-06-06,108
443,2021-06-07,41
444,2021-06-08,25
445,2021-06-09,46
446,2021-06-10,1314
447,2021-06-11,391
448,2021-06-12,211
449,2021-06-13,66
450,2021-06-14,228
451,2021-06-15,407
452,2021-06-16,340
453,2021-06-17,337
454,2021-06-18,314
455,2021-06-19,218
456,2021-06-20,55
457,2021-06-21,2
458,2021-06-22,19
459,2021-06-23,907
460,2021-06-24,237
461,2021-06-25,289
462,2021-06-26,274
463,2021-06-27,97
464,2021-06-28,7
465,2021-06-29,219
466,2021-06-30,427
467,2021-07-01,226
468,2021-07-02,289
469,2021-07-03,195
470,2021-07-04,62
471,2021-07-05,122
472,2021-07-06,257
473,2021-07-07,335
474,2021-07-08,185
475,2021-07-09,327
476,2021-07-10,150
477,2021-07-11,101
478,2021-07-12,50
479,2021-07-13,324
480,2021-07-14,4
481,2021-07-15,621
482,2021-07-16,318
483,2021-07-17,195
484,2021-07-18,38
485,2021-07-19,38
486,2021-07-20,316
487,2021-07-21,325
488,2021-07-22,222
489,2021-07-23,127
490,2021-07-24,210
491,2021-07-25,34
492,2021-07-26,131
493,2021-07-27,242
494,2021-07-28,240
495,2021-07-29,192
496,2021-07-30,135
497,2021-07-31,89
498,2021-08-01,30
499,2021-08-02,62
500,2021-08-03,122
501,2021-08-04,137
502,2021-08-05,127
503,2021-08-06,115
504,2021-08-07,96
505,2021-08-08,31
506,2021-08-09,60
507,2021-08-10,151
508,2021-08-11,128
509,2021-08-12,138
510,2021-08-13,16
511,2021-08-14,177
512,2021-08-15,19
513,2021-08-16,97
514,2021-08-17,120
515,2021-08-18,131
516,2021-08-19,196
517,2021-08-20,140
518,2021-08-21,103
519,2021-08-22,9
520,2021-08-23,98
521,2021-08-24,16
522,2021-08-25,170
523,2021-08-26,25
524,2021-08-27,92
525,2021-08-28,46
526,2021-08-29,9
527,2021-08-30,56
528,2021-08-31,118
529,2021-09-01,79
530,2021-09-02,90
531,2021-09-03,0
532,2021-09-04,126
533,2021-09-05,12
534,2021-09-06,0
535,2021-09-07,4
536,2021-09-08,0
537,2021-09-09,6
538,2021-09-10,3
539,2021-09-11,111
540,2021-09-12,5
541,2021-09-13,0
542,2021-09-14,591
543,2021-09-15,2
544,2021-09-16,7
545,2021-09-17,102
546,2021-09-18,1
547,2021-09-19,1
548,2021-09-20,2
549,2021-09-21,5
550,2021-09-22,6
551,2021-09-23,16
552,2021-09-24,17
553,2021-09-25,17
554,2021-09-26,1
555,2021-09-27,0
556,2021-09-28,9
557,2021-09-29,0
558,2021-09-30,13
559,2021-10-01,10
560,2021-10-02,1
561,2021-10-03,1
562,2021-10-04,0
563,2021-10-05,0
564,2021-10-06,0
565,2021-10-07,5
566,2021-10-08,13
567,2021-10-09,9
568,2021-10-10,1
569,2021-10-11,6
570,2021-10-12,0
571,2021-10-13,7
572,2021-10-14,7
573,2021-10-15,5
574,2021-10-16,0
575,2021-10-17,10
576,2021-10-18,521
577,2021-10-19,60
578,2021-10-20,33
579,2021-10-21,50
580,2021-10-22,38
581,2021-10-23,35
582,2021-10-24,8
583,2021-10-25,28
584,2021-10-26,29
585,2021-10-27,32
586,2021-10-28,38
587,2021-10-29,8
588,2021-10-30,12
589,2021-10-31,5
590,2021-11-01,18
591,2021-11-02,4
592,2021-11-03,32
593,2021-11-04,47
594,2021-11-05,54
595,2021-11-06,32
596,2021-11-07,1
597,2021-11-08,8
598,2021-11-09,82
599,2021-11-10,31
600,2021-11-11,0
601,2021-11-12,0
602,2021-11-13,0
603,2021-11-14,0
604,2021-11-15,0
605,2021-11-16,0
606,2021-11-17,0
607,2021-11-18,0
608,2021-11-19,0
609,2021-11-20,0
610,2021-11-21,0
611,2021-11-22,0
612,2021-11-23,0
613,2021-11-24,0
614,2021-11-25,0
615,2021-11-26,0
616,2021-11-27,0
617,2021-11-28,0
618,2021-11-29,0
619,2021-11-30,0
620,2021-12-01,0
621,2021-12-02,0
622,2021-12-03,0
623,2021-12-04,0
624,2021-12-05,0
625,2021-12-06,0
626,2021-12-07,0
627,2021-12-08,0
628,2021-12-09,0
629,2021-12-10,0
630,2021-12-11,0
631,2021-12-12,0
632,2021-12-13,0
633,2021-12-14,0
634,2021-12-15,0
635,2021-12-16,0
636,2021-12-17,0
